14:24:54.095 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 20.000016 Kilometer pro Stunde für Knoten 40
14:26:34.853 INFO  [b.liftweb.Boot] [] - Shutting down
14:26:34.884 DEBUG [a.event.EventStream] [EventStream] - shutting down: StandardOutLogger started
14:26:59.221 INFO  [d.f.a.osm.OsmMap] [] - Loading file maps/Altona-Wedel.osm
14:26:59.491 INFO  [d.f.a.osm.OsmMap] [] - Initializing
14:26:59.491 INFO  [d.f.a.osm.OsmMap] [] - Parsing nodes
14:26:59.611 INFO  [d.f.a.osm.OsmMap] [] - 7983 nodes parsed in 120 milliseconds
14:26:59.611 INFO  [d.f.a.osm.OsmMap] [] - Parsing ways
14:27:01.427 INFO  [d.f.a.osm.OsmMap] [] - 1914 ways parsed in 1786 milliseconds
14:27:01.427 INFO  [d.f.a.osm.OsmMap] [] - Computing node ways mapping
14:27:01.574 WARN  [d.f.a.c.Statistics] [] - Unknown message: CometName(statistics)
14:27:01.589 WARN  [d.f.a.c.UserInterface] [] - Unknown message: CometName(userInterface)
14:27:01.658 INFO  [d.f.a.osm.OsmMap] [] - Node ways mapping with 7983 elements computed, took 185 ms
14:27:01.658 INFO  [d.f.a.d.DijkstraService] [akka://AntScout/user/antScout/dijkstra] - Initialized
14:27:01.658 INFO  [d.f.a.antnet.AntMap] [] - Preparing
14:27:01.710 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways data
14:27:01.849 INFO  [d.f.a.antnet.AntMap] [] - 208 ant ways data computed, took 139 ms
14:27:01.849 INFO  [d.f.a.antnet.AntMap] [] - Computing nodes
14:27:01.851 INFO  [d.f.a.antnet.AntMap] [] - 144 nodes computed
14:27:01.851 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initializing
14:27:01.864 INFO  [d.f.a.a.AntNodeSupervisor] [akka://AntScout/user/antScout/antNode] - Initialized
14:27:01.864 INFO  [d.f.a.antnet.AntMap] [] - Computing ant ways
14:27:01.909 ERROR [n.l.http.LiftRules] [] - Exception being returned to browser when processing Req(List(), Map(), ParsePath(List(ways),,true,false), , GetRequest, Empty)
java.lang.NullPointerException: null
